task_id,correct_shape,correct_size,generated_shape,generated_size,accuracy,failed,error_type,correct_grid,generated_grid,source_file,shape_match,size_diff,size_ratio
007bbfb7,"(9, 9)",81,"(3, 9)",27.0,0.0,False,,"7 0 7 0 0 0 7 0 7
7 0 7 0 0 0 7 0 7
7 7 0 0 0 0 7 7 0
7 0 7 0 0 0 7 0 7
7 0 7 0 0 0 7 0 7
7 7 0 0 0 0 7 7 0
7 0 7 7 0 7 0 0 0
7 0 7 7 0 7 0 0 0
7 7 0 7 7 0 0 0 0","7 0 7 7 0 7 7 0 7
7 0 7 7 0 7 7 0 7
7 7 0 7 7 0 7 7 0 7 7 0 7 7 0 7 7 0 7 7 0 7 7 0",llada_parallel.out,False,54.0,0.3333333333333333
00d62c1b,"(20, 20)",400,"(1, 42)",42.0,0.0,False,,"0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 3 4 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 3 0 3 3 3 3 3 0 3 3 0 0 0 0 0 0 0 0
0 0 0 0 3 4 4 4 4 3 4 4 3 0 0 0 0 0 0 0
0 0 0 0 3 3 3 3 3 0 3 3 3 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 3 3 3 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 3 4 4 4 3 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 3 4 4 4 3 0 0
0 0 0 0 0 0 0 0 0 3 3 3 3 3 4 4 4 3 0 0
0 0 0 0 0 0 0 0 0 3 4 4 4 3 4 4 4 3 0 0
0 0 0 0 0 0 0 0 3 3 3 3 3 3 4 4 4 3 0 0
0 0 0 0 0 0 3 3 4 3 0 0 0 3 3 3 3 3 0 0
0 0 3 0 0 0 0 0 3 3 0 0 0 0 0 0 0 0 0 0
0 3 4 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 3 0 3 0 3 3 3 3 3 3 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 3 4 4 4 3 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 3 4 4 4 3 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 3 3 3 3 3 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3,llada_parallel.out,False,358.0,0.105
017c7c7b,"(9, 3)",27,"(8, 3)",24.0,0.0,False,,"2 2 2
0 2 0
0 2 0
2 2 2
0 2 0
0 2 0
2 2 2
0 2 0
0 2 0","2 2 2
0 2 0
0 2 0
2 2 2
0 2 0
0 2 0
2 2 2
0 2 0",llada_parallel.out,False,3.0,0.8888888888888888
025d127b,"(10, 10)",100,"(5, 10)",50.0,0.0,False,,"0 0 0 0 0 0 0 0 0 0
0 0 4 4 4 4 4 4 0 0
0 0 4 0 0 0 0 0 4 0
0 0 0 4 0 0 0 0 0 4
0 0 0 0 4 0 0 0 0 4
0 0 0 0 4 4 4 4 4 4
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0","0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0",llada_parallel.out,False,50.0,0.5
0520fde7,"(3, 3)",9,"(3, 3)",9.0,66.67,False,,"2 0 2
0 0 0
0 0 0","0 0 0
0 2 0
0 0 0",llada_parallel.out,True,0.0,1.0
05269061,"(7, 7)",49,"(6, 7)",42.0,0.0,False,,"2 1 4 2 1 4 2
1 4 2 1 4 2 1
4 2 1 4 2 1 4
2 1 4 2 1 4 2
1 4 2 1 4 2 1
4 2 1 4 2 1 4
2 1 4 2 1 4 2","2 1 2 2 1 2 2
2 1 2 2 1 2 2
2 1 2 2 1 2 2
2 1 2 2 1 2 2
2 1 2 2 1 2 4
2 1 2 2 1 2 4",llada_parallel.out,False,7.0,0.8571428571428571
05f2a901,"(11, 10)",110,"(1, 42)",42.0,0.0,False,,"0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 2 0 0 0 0 0 0
0 0 0 2 2 0 0 0 0 0
0 8 8 2 2 0 0 0 0 0
0 8 8 0 2 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,llada_parallel.out,False,68.0,0.38181818181818183
08ed6ac7,"(9, 9)",81,"(5, 9)",45.0,0.0,False,,"0 0 0 0 0 0 0 0 0
0 1 0 0 0 0 0 0 0
0 1 0 0 0 2 0 0 0
0 1 0 0 0 2 0 0 0
0 1 0 0 0 2 0 3 0
0 1 0 0 0 2 0 3 0
0 1 0 4 0 2 0 3 0
0 1 0 4 0 2 0 3 0
0 1 0 4 0 2 0 3 0","0 0 0 0 0 1 0 0 0
0 2 0 0 0 1 0 0 0
0 2 0 0 0 1 0 0 0
0 2 0 3 0 1 0 0 0
0 2 0 3 0 1",llada_parallel.out,False,36.0,0.5555555555555556
09629e4f,"(11, 11)",121,"(1, 42)",42.0,0.0,False,,"0 0 0 5 2 2 2 5 4 4 4
0 0 0 5 2 2 2 5 4 4 4
0 0 0 5 2 2 2 5 4 4 4
5 5 5 5 5 5 5 5 5 5 5
0 0 0 5 6 6 6 5 3 3 3
0 0 0 5 6 6 6 5 3 3 3
0 0 0 5 6 6 6 5 3 3 3
5 5 5 5 5 5 5 5 5 5 5
0 0 0 5 0 0 0 5 0 0 0
0 0 0 5 0 0 0 5 0 0 0
0 0 0 5 0 0 0 5 0 0 0",0 0 0 5 0 0 0 5 0 0 0 0 0 0 5 0 0 0 5 0 0 0 0 0 0 5 0 0 0 5 0 0 0 5 5 5 5 5 5 5 5 5,llada_parallel.out,False,79.0,0.34710743801652894
0962bcdd,"(12, 12)",144,"(4, 12)",48.0,0.0,False,,"0 0 0 0 0 0 4 0 3 0 4 0
0 0 0 0 0 0 0 4 3 4 0 0
0 0 0 0 0 0 3 3 4 3 3 0
0 0 0 0 0 0 0 4 3 4 0 0
0 0 0 0 0 0 4 0 3 0 4 0
4 0 3 0 4 0 0 0 0 0 0 0
0 4 3 4 0 0 0 0 0 0 0 0
3 3 4 3 3 0 0 0 0 0 0 0
0 4 3 4 0 0 0 0 0 0 0 0
4 0 3 0 4 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0","0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0",llada_parallel.out,False,96.0,0.3333333333333333
0a938d79,"(11, 27)",297,"(1, 42)",42.0,0.0,False,,"0 0 0 0 0 3 0 0 0 0 4 0 0 0 0 3 0 0 0 0 4 0 0 0 0 3 0
0 0 0 0 0 3 0 0 0 0 4 0 0 0 0 3 0 0 0 0 4 0 0 0 0 3 0
0 0 0 0 0 3 0 0 0 0 4 0 0 0 0 3 0 0 0 0 4 0 0 0 0 3 0
0 0 0 0 0 3 0 0 0 0 4 0 0 0 0 3 0 0 0 0 4 0 0 0 0 3 0
0 0 0 0 0 3 0 0 0 0 4 0 0 0 0 3 0 0 0 0 4 0 0 0 0 3 0
0 0 0 0 0 3 0 0 0 0 4 0 0 0 0 3 0 0 0 0 4 0 0 0 0 3 0
0 0 0 0 0 3 0 0 0 0 4 0 0 0 0 3 0 0 0 0 4 0 0 0 0 3 0
0 0 0 0 0 3 0 0 0 0 4 0 0 0 0 3 0 0 0 0 4 0 0 0 0 3 0
0 0 0 0 0 3 0 0 0 0 4 0 0 0 0 3 0 0 0 0 4 0 0 0 0 3 0
0 0 0 0 0 3 0 0 0 0 4 0 0 0 0 3 0 0 0 0 4 0 0 0 0 3 0
0 0 0 0 0 3 0 0 0 0 4 0 0 0 0 3 0 0 0 0 4 0 0 0 0 3 0",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,llada_parallel.out,False,255.0,0.1414141414141414
0b148d64,"(6, 6)",36,"(3, 17)",51.0,0.0,False,,"1 1 1 1 0 1
1 0 1 0 1 1
1 1 0 1 1 0
0 0 0 1 1 1
1 1 1 1 1 1
1 1 1 1 1 1","0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0",llada_parallel.out,False,15.0,1.4166666666666667
0ca9ddb6,"(9, 9)",81,"(5, 9)",45.0,0.0,False,,"0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 7 0 0
0 4 0 4 0 7 1 7 0
0 0 2 0 0 0 7 0 0
0 4 0 4 0 0 0 0 0
0 0 0 0 0 8 0 0 0
0 0 0 0 0 0 4 0 4
0 6 0 0 0 0 0 2 0
0 0 0 0 0 0 4 0 4","0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 1 0 0
0 0 2 0 0 0 0 0 0
0 0 0 0 0 0",llada_parallel.out,False,36.0,0.5555555555555556
0d3d703e,"(3, 3)",9,"(3, 3)",9.0,0.0,False,,"9 5 4
9 5 4
9 5 4","8 1 3
8 1 3
8 1 3",llada_parallel.out,True,0.0,1.0
